transliteration,sorting,period,morphology,number,person,class,affix,semantics,root ≠ base,base,pagenumber,adjectival use,classifier_front,classifier_end,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_MEGA,certainty-weight_MEGA,proper_name_context,contributor,validator,lang_context,loan_lang,unicode,Wordnet,Notes,POS,variant,cognate,case,conjugation,mode,voice,frequency,rich
a-a,aa,oE; nE,ai,Sg.,1st,,,,,ai,13,,,,,,,,"wohl, gut, gern",0.5,,,anthroponym,f,,,,,,,adjective,"a-ù-ù, a-a-i-[im?]-bu",,,,,,2,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font></qt>"
h.hi-bat-tin-na,hibattinna,achE,,,,,-na,,,Hipat,655,x,AŠ,,,-na;postp.gen,,,adjective of Hipat,1,,,,f,,,,,,,adjective,h.hi-ba-at,,,,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#c30000"">hi</font>-<font color=""#de0000"">bat</font>-<font color=""#9b0000"">tin</font>-na</qt>"
v.ha-ak-qa-man-nu-iš-ši-ya,haakqamannuis~s~iya,achE,Achæmenid,,,anim.,,,,hakamanušiya,573,x,DIŠ,,,,,,Achaemenid,1,,,,f,,,,,,,adjective,"hhh.ha-qa-man-na-šá, v.ha-qa-man-nu-iš-ši-ya, v.ha-qa-man-nu-ši-ya",haxāmanišya,,,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">man</font>-nu-iš-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font></qt>"
am-mín-nu,amminnu,achE,same?,Sg.,1st,,,,,aminu,54,x,,,,,,,selbig (same),1,,,,f,,,,,,,adjective,,,,,,,1,"<qt>am-<font color=""#e10000"">mín</font>-nu</qt>"
te-man?-na?-na,demannana,achE,,,,,,,,tema-na,317,x,,,,-na;postp.gen,,,abendlich,0.5,,,,f,,,,,,,adjective,hh.te-man,,,,,,,"<qt>te-<font color=""#690000"">man</font>-na-na</qt>"
te-na,dena,achE,,,,,,,,te-na,317,x,,,,-na;postp.gen,,,"mild, süß",1,,,,f,,,,,,,adjective,"hw.ad-da.te-na, hh.i-gi.te-na, v.im-ba-de-en-na, hw.man.te-na-ir",,,,,,4,<qt>te-na</qt>
lag-gi-ma-na,laggimana,achE,la-na,,,,-na,,,laki,806,,,,,-ma;postp.loc,-na;postp.gen,,for their journey,1,journey,0.5,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#00ff00"">lag</font>-<font color=""#9b0000"">gi</font>-<font color=""#b40000"">ma</font>-na</qt>"
la-gi,lagi,nE,la-k,,,,-k,,,laki,806,x,,,,,,,"vorstoßend, uberquerend",1,,,,f,,,,,,,adjective,,,,,,,,"<qt>la-<font color=""#9b0000"">gi</font></qt>"
la-gi-ik,lagiik,nE,lak-k,,,,-k,,,laki-,806,,,,,-k-;ii,,,angereist,0.5,to travel,0.5,,f,,,,,,,verb,,,,,,,,"<qt>la-<font color=""#9b0000"">gi</font>-<font color=""#c30000"">ik</font></qt>"
[an]-nu-kur-ir-na,annukurirna,nE,anāku-SG-na,,,,,,,hanakir,61,x,,,,,-na;postp.gen,,of tin,0.5,tin,0.5,,f,,,,,,,noun,an-nu-uk-ir-na,,,,,,1,"<qt><font color=""#c30000"">an</font>-nu-<font color=""#cd0000"">kur</font>-ir-na</qt>"
